epoch,beta,recon,kl,perc,loss_g,loss_d,val_loss,val_recon,fid,lr,seconds
1,0.059000,0.112978,0.016753,0.282931,1.173437,1.576131,0.112682,0.082371,nan,1.000e-03,36.7
2,0.059000,0.133578,0.010260,0.367132,2.190272,0.739731,0.236342,0.202405,nan,1.000e-03,21.0
3,0.059000,0.167208,0.031644,0.347987,3.806005,0.328242,0.171303,0.144614,nan,1.000e-03,20.6
4,0.059000,0.156528,0.028629,0.356710,2.869134,0.409239,0.192188,0.155167,nan,1.000e-03,20.6
5,0.059000,0.159158,0.048939,0.354065,3.488407,0.404143,0.203031,0.175387,300.2822,1.000e-03,35.3
6,0.059000,0.132477,0.010911,0.410619,2.736275,0.418451,0.118587,0.077399,nan,1.000e-03,21.0
7,0.059000,0.134334,0.029627,0.384600,2.625516,0.401890,0.196589,0.144067,nan,1.000e-03,20.6
8,0.059000,0.152415,0.072402,0.380346,2.976497,0.444285,0.123414,0.085680,nan,1.000e-03,20.9
9,0.059000,0.098171,0.033088,0.281675,4.849805,0.160213,0.145255,0.120487,nan,1.000e-03,20.5
10,0.059000,0.135379,0.024288,0.437582,3.518247,0.321829,0.201554,0.132349,377.0479,1.000e-03,35.6
11,0.059000,0.146131,0.028972,0.471920,2.812416,0.564712,0.230765,0.176589,nan,1.000e-03,21.0
12,0.059000,0.143399,0.022412,0.361225,3.084814,0.310013,0.168079,0.129917,nan,1.000e-03,20.9
13,0.059000,0.122028,0.026853,0.327291,2.914290,0.494672,0.151882,0.120431,nan,1.000e-03,21.4
14,0.059000,0.121116,0.017875,0.342808,2.896285,0.583299,0.206333,0.167911,nan,1.000e-03,22.1
15,0.059000,0.139474,0.010569,0.349619,2.966131,0.532317,0.125777,0.095539,297.5094,1.000e-03,39.6
16,0.059000,0.130023,0.011287,0.408878,2.938910,0.450450,0.184243,0.143997,nan,1.000e-03,21.2
17,0.059000,0.119816,0.010186,0.376485,3.628422,0.364841,0.141716,0.117619,nan,1.000e-03,20.5
18,0.059000,0.134034,0.021395,0.360852,4.670782,0.244226,0.157589,0.101226,nan,1.000e-03,20.7
19,0.059000,0.143610,0.037462,0.530150,3.988741,0.402677,0.175052,0.139923,nan,1.000e-03,21.0
20,0.059000,0.124728,0.018221,0.406307,3.836609,0.307025,0.164601,0.125565,320.9994,1.000e-03,32.4
