epoch,recon,kl,perc,loss_g,loss_d,val_loss,val_recon,fid,lr,seconds
1,0.087486,0.233891,0.266421,0.273527,2.682622,0.151405,0.111567,371.2702,1.000e-03,49.0
2,0.097377,0.520309,0.264254,0.269854,1.432668,0.187199,0.137841,312.4617,1.000e-03,32.0
3,0.091523,0.667923,0.265043,0.348911,0.841032,0.126648,0.100122,301.0208,1.000e-03,33.1
4,0.095079,0.488722,0.248247,0.296230,0.940803,0.113440,0.070850,307.3254,1.000e-03,34.1
5,0.087593,0.584786,0.297978,0.294742,0.977471,0.093837,0.060471,335.5684,1.000e-03,36.1
6,0.078467,0.568349,0.231394,0.259913,0.822455,0.113689,0.082149,304.6959,1.000e-03,35.1
7,0.086345,0.490728,0.226851,0.275257,0.810296,0.144631,0.115852,275.2807,1.000e-03,33.4
8,0.080573,0.627423,0.243745,0.268974,0.656307,0.103699,0.071991,253.9631,1.000e-03,32.8
9,0.077444,0.513601,0.244206,0.287090,0.638980,0.099454,0.063918,304.3896,1.000e-03,35.2
10,0.093061,0.584622,0.305761,0.349816,0.593439,0.140209,0.104042,348.2821,1.000e-03,32.8
11,0.078599,0.394392,0.258308,0.277530,0.676841,0.128568,0.093403,250.3792,2.000e-04,33.2
12,0.057315,0.525783,0.218891,0.214468,0.516002,0.079318,0.051152,259.1018,2.000e-04,32.5
13,0.062271,0.280147,0.220971,0.206754,0.696837,0.086794,0.060134,233.3565,2.000e-04,32.4
14,0.058874,0.212634,0.212627,0.184731,0.822308,0.072460,0.049395,210.7141,2.000e-04,32.1
15,0.059160,0.220298,0.206627,0.182817,0.976816,0.072170,0.049826,216.8678,2.000e-04,31.9
16,0.058088,0.275677,0.208976,0.163876,1.096897,0.105617,0.077601,232.0027,2.000e-04,32.5
17,0.055394,0.308040,0.202161,0.162874,1.188712,0.073066,0.050245,214.0593,2.000e-04,32.0
18,0.050690,0.168945,0.206565,0.169696,0.985090,0.095112,0.071511,207.4615,2.000e-04,32.0
19,0.060275,0.271621,0.209646,0.180079,0.965530,0.086090,0.061819,184.8424,2.000e-04,32.9
20,0.052037,0.231726,0.203397,0.168118,1.186646,0.091138,0.067047,213.7663,2.000e-04,32.1
21,0.055757,0.243826,0.205445,0.164847,1.264793,0.096527,0.073294,216.4964,4.000e-05,32.5
22,0.055544,0.226767,0.200432,0.166555,0.930130,0.084987,0.061400,200.6626,4.000e-05,32.8
23,0.048996,0.214466,0.202266,0.155450,0.856448,0.076580,0.052536,198.2097,4.000e-05,32.3
24,0.049502,0.211850,0.212863,0.155427,0.785668,0.078318,0.053691,211.2377,4.000e-05,31.5
25,0.055660,0.225929,0.212618,0.149012,1.058332,0.153355,0.125953,202.8526,4.000e-05,32.8
