epoch,beta,recon,kl,perc,loss_g,loss_d,val_loss,val_recon,fid,lr,seconds
1,0.059000,0.045375,0.061153,0.177292,0.116745,2.259228,0.061820,0.042240,nan,1.000e-03,35.2
2,0.059000,0.038595,0.046606,0.162448,0.075432,2.002880,0.113815,0.082073,nan,1.000e-03,21.9
3,0.059000,0.036410,0.052713,0.158572,0.080074,1.997948,0.059430,0.039618,nan,1.000e-03,21.6
4,0.059000,0.035426,0.064697,0.160918,0.075457,2.019025,0.057720,0.034633,nan,1.000e-03,21.9
5,0.059000,0.034774,0.066515,0.163493,0.064061,2.009947,0.071310,0.050778,228.7742,1.000e-03,41.3
6,0.059000,0.033919,0.069645,0.159774,0.014370,2.011114,0.052325,0.031512,nan,1.000e-03,23.8
7,0.059000,0.034136,0.071811,0.161545,0.077843,1.993469,0.074522,0.050924,nan,1.000e-03,24.6
8,0.059000,0.039500,0.083057,0.177189,0.058869,2.007953,0.075434,0.049624,nan,1.000e-03,23.8
9,0.059000,0.038022,0.082001,0.185026,0.071408,2.020269,0.051417,0.029889,nan,1.000e-03,23.8
10,0.059000,0.033508,0.072189,0.175327,0.054527,2.009745,0.046466,0.024884,235.8528,1.000e-03,41.5
11,0.059000,0.031877,0.066920,0.171283,0.049370,1.992417,0.045710,0.025007,nan,1.000e-03,23.8
12,0.059000,0.032462,0.068230,0.168841,0.045021,2.003786,0.065831,0.043116,nan,1.000e-03,23.8
13,0.059000,0.034917,0.072257,0.171856,0.039091,2.019694,0.045065,0.025059,nan,1.000e-03,25.2
14,0.059000,0.032812,0.068544,0.167114,0.031414,1.992504,0.050672,0.031003,nan,1.000e-03,22.2
15,0.059000,0.032932,0.071652,0.167890,0.031630,1.998698,0.059958,0.039353,181.8155,1.000e-03,41.3
16,0.059000,0.038110,0.074443,0.176177,0.038192,2.014542,0.067294,0.044696,nan,1.000e-03,24.4
17,0.059000,0.033012,0.072731,0.166305,0.052627,1.988977,0.043422,0.024289,nan,1.000e-03,23.7
18,0.059000,0.032045,0.074113,0.164423,0.047859,1.996162,0.054718,0.032702,nan,1.000e-03,26.0
19,0.059000,0.031535,0.082292,0.165272,0.062204,2.013979,0.044081,0.023932,nan,1.000e-03,22.6
20,0.059000,0.029580,0.077578,0.162612,0.039731,1.994701,0.057833,0.036616,177.5192,1.000e-03,41.3
21,0.059000,0.029465,0.079231,0.161807,0.072846,1.995759,0.046467,0.027160,nan,1.000e-03,24.5
22,0.059000,0.030634,0.079069,0.163164,0.084073,2.002569,0.045142,0.025684,nan,1.000e-03,24.2
23,0.059000,0.030103,0.080360,0.161743,0.057120,1.998267,0.054704,0.032479,nan,1.000e-03,24.6
24,0.059000,0.031519,0.087915,0.165930,0.049499,2.007200,0.044384,0.023639,nan,1.000e-03,24.2
25,0.059000,0.028011,0.079443,0.159543,0.032336,1.995795,0.051885,0.031186,181.2119,1.000e-03,39.4
26,0.059000,0.027720,0.082349,0.159993,0.000923,2.010596,0.051177,0.029430,nan,1.000e-03,26.8
27,0.059000,0.027805,0.081138,0.159254,0.034137,2.000257,0.049338,0.028879,nan,1.000e-03,22.6
28,0.059000,0.026949,0.078375,0.157562,0.026805,1.994229,0.050711,0.030011,nan,1.000e-03,22.6
29,0.059000,0.028108,0.082571,0.160733,0.052034,1.992251,0.059678,0.037055,nan,1.000e-03,30.0
30,0.059000,0.034421,0.086796,0.178931,0.058049,2.018341,0.049871,0.027663,177.3910,1.000e-03,37.4
31,0.059000,0.028912,0.079995,0.169024,0.054976,2.001615,0.040793,0.021058,nan,1.000e-03,44.2
32,0.059000,0.027426,0.079047,0.163264,0.033005,2.001703,0.041569,0.022084,nan,1.000e-03,26.7
33,0.059000,0.027224,0.076087,0.164874,0.071778,2.016908,0.040213,0.020744,nan,1.000e-03,22.4
34,0.059000,0.026461,0.075610,0.158791,0.054638,1.993967,0.046005,0.026028,nan,1.000e-03,30.9
35,0.059000,0.026866,0.077567,0.158751,0.040264,2.002698,0.049732,0.028278,153.1471,1.000e-03,40.1
36,0.059000,0.025652,0.079917,0.157833,0.087544,1.999122,0.043956,0.024846,nan,1.000e-03,22.3
37,0.059000,0.025464,0.077082,0.157903,0.066336,1.993734,0.044407,0.024216,nan,1.000e-03,21.9
38,0.059000,0.025878,0.074400,0.158116,0.018636,2.002798,0.051013,0.029935,nan,1.000e-03,21.8
39,0.059000,0.025023,0.076729,0.157314,0.051035,1.999473,0.047649,0.026639,nan,1.000e-03,21.8
40,0.059000,0.028860,0.081087,0.172576,0.039471,2.019630,0.041118,0.021287,159.6683,1.000e-03,35.6
41,0.059000,0.026290,0.075845,0.160014,0.046171,1.991544,0.042213,0.022544,nan,1.000e-03,22.2
42,0.059000,0.026324,0.075363,0.158995,0.048111,2.002519,0.062491,0.037897,nan,1.000e-03,22.6
43,0.059000,0.025691,0.078530,0.158437,-0.002528,1.998836,0.042874,0.023427,nan,1.000e-03,35.7
44,0.059000,0.025923,0.075867,0.157491,0.018418,2.005966,0.037031,0.018456,nan,1.000e-03,21.4
45,0.059000,0.024118,0.074928,0.155558,0.049580,1.997903,0.039195,0.019913,148.2753,1.000e-03,35.5
46,0.059000,0.024183,0.076104,0.155120,0.043049,2.000437,0.037916,0.019108,nan,1.000e-03,22.7
47,0.059000,0.024750,0.073999,0.155368,0.036479,1.998854,0.050409,0.029660,nan,1.000e-03,25.4
48,0.059000,0.023710,0.073925,0.154194,0.008246,2.000495,0.040420,0.021008,nan,1.000e-03,29.7
49,0.059000,0.023997,0.074203,0.155188,0.022074,1.996100,0.043768,0.023804,nan,1.000e-03,21.8
50,0.059000,0.023933,0.072854,0.155505,0.061142,2.002601,0.047899,0.027419,168.9868,1.000e-03,35.3
51,0.059000,0.025070,0.076675,0.157840,0.051753,2.002441,0.038611,0.020156,nan,1.000e-03,22.0
52,0.059000,0.024919,0.077050,0.155264,0.034965,1.996593,0.044570,0.023933,nan,1.000e-03,21.4
53,0.059000,0.025268,0.076905,0.158248,-0.001677,2.007885,0.038584,0.019774,nan,1.000e-03,21.5
54,0.059000,0.023335,0.073570,0.153572,-0.018025,1.996354,0.043786,0.024292,nan,1.000e-03,21.9
55,0.059000,0.023628,0.078440,0.152766,-0.001727,1.996230,0.046961,0.027385,141.8128,1.000e-03,36.6
56,0.059000,0.024163,0.075881,0.154059,0.064985,2.003748,0.048462,0.027951,nan,1.000e-03,22.1
57,0.059000,0.024111,0.075409,0.154035,0.038548,2.003403,0.044265,0.024565,nan,1.000e-03,21.3
58,0.059000,0.023166,0.073081,0.152340,0.068547,1.998693,0.037727,0.019275,nan,1.000e-03,21.4
59,0.059000,0.023117,0.072659,0.152994,0.048031,2.001585,0.046488,0.025506,nan,1.000e-03,21.8
60,0.059000,0.022477,0.071209,0.150932,-0.015260,1.998708,0.039049,0.020620,152.2905,1.000e-03,37.6
61,0.059000,0.025446,0.095400,0.155348,0.041723,1.994421,0.044601,0.024920,nan,1.000e-03,21.7
62,0.059000,0.027660,0.079322,0.167530,0.036660,2.001206,0.057838,0.034991,nan,1.000e-03,21.2
63,0.059000,0.026839,0.082773,0.165271,0.049002,1.978338,0.042474,0.023012,nan,1.000e-03,21.4
64,0.059000,0.023889,0.079605,0.157578,0.020340,2.009025,0.039348,0.020146,nan,1.000e-03,21.7
