epoch,beta,recon,kl,perc,loss_g,loss_d,val_loss,val_recon,fid,lr,seconds
1,0.059000,0.044092,0.047630,0.166612,0.124726,2.278087,0.078693,0.057387,nan,1.000e-03,39.6
2,0.059000,0.037841,0.042965,0.156859,0.050241,2.002156,0.052266,0.033982,nan,1.000e-03,21.9
3,0.059000,0.035391,0.052337,0.156098,0.039713,2.006704,0.066510,0.046705,nan,1.000e-03,22.2
4,0.059000,0.033333,0.054661,0.148214,0.036790,2.007366,0.065882,0.045416,nan,1.000e-03,21.9
5,0.059000,0.033756,0.055321,0.145693,0.086342,1.997532,0.049026,0.030405,251.4929,1.000e-03,35.5
6,0.059000,0.033153,0.058603,0.145611,0.037890,2.006358,0.050595,0.032619,nan,1.000e-03,22.6
7,0.059000,0.033102,0.063878,0.150063,0.051435,2.002992,0.045091,0.026293,nan,1.000e-03,22.3
8,0.059000,0.029487,0.061905,0.147753,0.073179,1.997028,0.046886,0.027228,nan,1.000e-03,22.5
9,0.059000,0.030810,0.066641,0.151852,0.050436,2.020818,0.044926,0.025186,nan,1.000e-03,22.0
10,0.059000,0.029170,0.066123,0.144142,0.042013,1.994118,0.057765,0.038367,249.6854,1.000e-03,35.6
11,0.059000,0.032788,0.067368,0.156893,0.041407,2.012017,0.051654,0.031049,nan,1.000e-03,22.3
12,0.059000,0.030972,0.067997,0.151772,0.069295,1.995195,0.047716,0.028055,nan,1.000e-03,22.6
13,0.059000,0.029952,0.069147,0.150956,0.072709,2.003447,0.041396,0.023329,nan,1.000e-03,22.1
14,0.059000,0.029631,0.069051,0.147737,0.040162,2.007383,0.044177,0.025357,nan,1.000e-03,22.6
15,0.059000,0.027987,0.060327,0.146720,-0.029274,1.997300,0.044712,0.025711,226.4233,1.000e-03,36.3
16,0.059000,0.028263,0.071294,0.146084,0.053100,2.004171,0.045065,0.024925,nan,1.000e-03,23.1
17,0.059000,0.029044,0.073731,0.151813,0.036081,1.994414,0.057927,0.036148,nan,1.000e-03,22.6
18,0.059000,0.033142,0.088433,0.157755,0.066255,1.958194,0.062794,0.033479,nan,1.000e-03,21.9
19,0.059000,0.029431,0.078108,0.166753,0.074343,2.028539,0.040220,0.020676,nan,1.000e-03,21.9
20,0.059000,0.025576,0.070694,0.145850,0.051031,2.003189,0.040752,0.021685,213.8677,1.000e-03,40.3
21,0.059000,0.026910,0.072784,0.147656,0.034349,1.997728,0.048051,0.026714,nan,1.000e-03,22.2
22,0.059000,0.027479,0.069896,0.157760,0.021755,2.022080,0.039638,0.020151,nan,1.000e-03,21.3
23,0.059000,0.025741,0.069149,0.146505,0.045261,1.996092,0.040260,0.020855,nan,1.000e-03,21.6
24,0.059000,0.024248,0.068957,0.143526,0.025860,1.997996,0.042887,0.023521,nan,1.000e-03,21.5
25,0.059000,0.025752,0.074799,0.146800,0.052134,1.993405,0.050380,0.029939,225.6105,1.000e-03,39.2
26,0.059000,0.027266,0.072559,0.152025,0.086118,2.007984,0.040333,0.021552,nan,1.000e-03,22.9
27,0.059000,0.025344,0.071459,0.143238,0.044445,1.994389,0.051068,0.030696,nan,1.000e-03,22.3
28,0.059000,0.028897,0.074441,0.155819,0.024949,1.996487,0.046805,0.025914,nan,1.000e-03,21.1
29,0.059000,0.029473,0.078048,0.154143,0.085639,2.007874,0.041810,0.022246,nan,1.000e-03,21.2
30,0.059000,0.023839,0.067925,0.140844,0.071105,1.997598,0.041257,0.022255,204.7623,1.000e-03,32.8
31,0.059000,0.025566,0.068555,0.143905,0.082085,1.997379,0.049222,0.029650,nan,1.000e-03,21.6
32,0.059000,0.025603,0.071326,0.144751,0.075028,2.002901,0.043205,0.024236,nan,1.000e-03,22.4
33,0.059000,0.024782,0.073995,0.142687,0.078648,1.988994,0.062901,0.041368,nan,1.000e-03,22.2
34,0.059000,0.028597,0.073751,0.147627,0.063996,1.990870,0.039534,0.021048,nan,1.000e-03,22.7
35,0.059000,0.025059,0.073384,0.141656,0.047127,2.012161,0.038428,0.020011,220.5859,1.000e-03,35.3
36,0.059000,0.025632,0.067903,0.145143,0.078132,2.005087,0.059785,0.039116,nan,1.000e-03,22.6
37,0.059000,0.024492,0.072363,0.145567,0.039046,2.005325,0.041414,0.022322,nan,1.000e-03,21.4
38,0.059000,0.024193,0.071478,0.140621,0.060248,1.998759,0.041235,0.022311,nan,1.000e-03,21.0
39,0.059000,0.024176,0.075226,0.143998,0.028825,2.000060,0.038729,0.020423,nan,1.000e-03,21.3
40,0.059000,0.024443,0.072063,0.144451,0.018253,1.997326,0.048470,0.027021,218.7599,1.000e-03,33.4
41,0.059000,0.023298,0.073756,0.143644,0.005748,1.998204,0.038986,0.020317,nan,1.000e-03,22.3
42,0.059000,0.024299,0.072665,0.142397,0.084712,1.996537,0.037250,0.018832,nan,1.000e-03,21.8
43,0.059000,0.024087,0.072586,0.142686,0.030988,2.004123,0.041966,0.022833,nan,1.000e-03,22.2
44,0.059000,0.025469,0.074379,0.145375,0.052277,1.988394,0.075877,0.052173,nan,1.000e-03,22.3
45,0.059000,0.027941,0.078162,0.157203,0.026102,2.009458,0.047463,0.027435,217.3236,1.000e-03,34.3
46,0.059000,0.023666,0.076469,0.138505,0.023417,1.999870,0.045427,0.026517,nan,1.000e-03,22.5
47,0.059000,0.024344,0.076288,0.141794,0.002256,1.986989,0.052484,0.032112,nan,1.000e-03,22.1
48,0.059000,0.026703,0.080554,0.149411,0.014083,2.005613,0.059191,0.036309,nan,1.000e-03,22.1
49,0.059000,0.025655,0.081999,0.145336,0.005770,2.006360,0.040606,0.021289,nan,1.000e-03,22.1
50,0.059000,0.021847,0.073254,0.138383,0.024297,1.992655,0.041981,0.022380,204.7871,1.000e-03,34.1
51,0.059000,0.023848,0.074216,0.141292,0.040216,2.000629,0.049574,0.029462,nan,1.000e-03,22.2
52,0.059000,0.024420,0.079707,0.144848,0.004013,1.991586,0.043557,0.023730,nan,1.000e-03,22.1
53,0.059000,0.023786,0.076793,0.146919,0.026771,1.999460,0.040288,0.020773,nan,1.000e-03,22.3
54,0.059000,0.023919,0.077104,0.143012,0.048637,1.998780,0.047397,0.027505,nan,1.000e-03,22.2
55,0.059000,0.022718,0.080392,0.141716,0.070845,1.989883,0.047534,0.027817,191.9275,1.000e-03,34.4
56,0.059000,0.024242,0.078951,0.143435,0.028489,1.993118,0.046033,0.027027,nan,1.000e-03,22.6
57,0.059000,0.025133,0.081314,0.147081,0.057315,1.997522,0.039621,0.020468,nan,1.000e-03,22.1
58,0.059000,0.021314,0.071405,0.140989,0.055921,1.998170,0.037037,0.018831,nan,1.000e-03,22.3
59,0.059000,0.022195,0.071159,0.136831,0.046690,2.000572,0.044782,0.025346,nan,1.000e-03,22.5
60,0.059000,0.021996,0.076361,0.141228,0.061665,1.992545,0.036468,0.017675,215.9850,1.000e-03,34.9
61,0.059000,0.022570,0.076919,0.143171,0.048526,1.994452,0.045966,0.026104,nan,1.000e-03,22.3
62,0.059000,0.025962,0.078472,0.152432,0.044331,1.997070,0.046118,0.024920,nan,1.000e-03,22.2
63,0.059000,0.023650,0.078001,0.144126,0.054012,2.001626,0.040071,0.020647,nan,1.000e-03,22.3
64,0.059000,0.022456,0.078438,0.140109,0.023758,1.989091,0.043714,0.023693,nan,1.000e-03,22.4
65,0.059000,0.023305,0.081107,0.141598,0.045487,1.988522,0.042351,0.022573,218.6406,1.000e-03,34.4
66,0.059000,0.021695,0.079755,0.141211,0.044942,1.991890,0.038938,0.019953,nan,1.000e-03,22.8
67,0.059000,0.024663,0.085426,0.149664,0.032442,1.995207,0.042662,0.022108,nan,1.000e-03,22.2
68,0.059000,0.023656,0.081473,0.149425,0.046642,1.983222,0.041624,0.020453,nan,1.000e-03,22.2
69,0.059000,0.022682,0.078702,0.142043,0.042117,2.000493,0.046719,0.026376,nan,1.000e-03,22.3
70,0.059000,0.023032,0.081485,0.143239,0.071943,1.991147,0.038253,0.019682,216.4747,1.000e-03,35.1
