epoch,beta,recon,kl,perc,loss_g,loss_d,val_loss,val_recon,fid,lr,seconds
1,0.059000,0.052240,0.041246,0.170992,0.042727,2.278222,0.054402,0.034039,nan,1.000e-03,38.5
2,0.059000,0.037020,0.040104,0.154350,0.053000,1.998596,0.061013,0.041757,nan,1.000e-03,22.1
3,0.059000,0.036161,0.045111,0.149765,0.077395,1.998930,0.051279,0.033918,nan,1.000e-03,21.9
4,0.059000,0.036205,0.055357,0.156647,0.083119,1.986634,0.075344,0.044046,nan,1.000e-03,22.4
5,0.059000,0.037638,0.055368,0.167315,0.036363,2.024013,0.054809,0.034713,206.6574,1.000e-03,34.6
6,0.059000,0.035826,0.060737,0.160162,0.029955,2.017935,0.052521,0.032308,nan,1.000e-03,22.2
7,0.059000,0.034562,0.057900,0.157142,0.017498,2.004063,0.049225,0.029937,nan,1.000e-03,21.8
8,0.059000,0.031746,0.055197,0.152188,0.004489,1.995257,0.054327,0.034289,nan,1.000e-03,22.0
9,0.059000,0.032718,0.061620,0.152116,0.014336,1.999459,0.046336,0.028246,nan,1.000e-03,21.8
10,0.059000,0.032640,0.058666,0.150089,0.030856,1.998755,0.069007,0.042503,203.0881,1.000e-03,37.2
11,0.059000,0.033085,0.066871,0.153727,0.043633,2.004498,0.048817,0.028053,nan,1.000e-03,22.6
12,0.059000,0.039431,0.073866,0.171154,0.050572,2.023392,0.087337,0.059374,nan,1.000e-03,22.1
13,0.059000,0.032733,0.060765,0.165656,0.051557,2.022332,0.043676,0.024312,nan,1.000e-03,22.7
14,0.059000,0.030763,0.061401,0.155386,0.030961,1.989346,0.050598,0.031996,nan,1.000e-03,22.8
15,0.059000,0.032449,0.067590,0.159159,0.024535,2.011296,0.055083,0.034422,184.4383,1.000e-03,35.0
16,0.059000,0.032165,0.074442,0.155855,0.031840,1.994704,0.050860,0.030230,nan,1.000e-03,22.7
17,0.059000,0.030648,0.077352,0.150919,0.063686,1.998623,0.048825,0.028171,nan,1.000e-03,22.1
18,0.059000,0.029101,0.077491,0.151903,0.057362,1.999357,0.040931,0.021698,nan,1.000e-03,22.1
19,0.059000,0.027458,0.071954,0.149341,0.033917,1.999356,0.045142,0.025165,nan,1.000e-03,22.0
20,0.059000,0.027423,0.071582,0.147076,0.051877,2.004280,0.042249,0.023173,186.1139,1.000e-03,36.3
21,0.059000,0.027105,0.072167,0.143451,0.095654,2.000809,0.042117,0.023008,nan,1.000e-03,21.6
22,0.059000,0.026817,0.074156,0.148242,-0.002200,1.996662,0.049258,0.029124,nan,1.000e-03,21.8
23,0.059000,0.027736,0.072011,0.144970,-0.002469,2.008647,0.049445,0.028524,nan,1.000e-03,22.1
