epoch,beta,recon,kl,perc,loss_g,loss_d,val_loss,val_recon,fid,lr,seconds
1,0.059000,0.047494,0.041720,0.167330,0.046359,2.282390,0.063753,0.045985,nan,1.000e-03,35.3
2,0.059000,0.035729,0.041662,0.149646,0.060326,2.006246,0.086212,0.057232,nan,1.000e-03,21.6
3,0.059000,0.035059,0.043585,0.148798,0.059629,2.002948,0.053129,0.032703,nan,1.000e-03,21.0
4,0.059000,0.032237,0.048636,0.141414,0.060297,1.997867,0.056150,0.036364,nan,1.000e-03,21.7
5,0.059000,0.032132,0.050777,0.139753,0.086310,2.003534,0.045163,0.027521,254.1136,1.000e-03,31.1
6,0.059000,0.032031,0.053973,0.142684,0.036457,2.003552,0.053020,0.033262,nan,1.000e-03,21.6
7,0.059000,0.031663,0.053249,0.140372,0.024232,2.005337,0.055142,0.037282,nan,1.000e-03,21.5
8,0.059000,0.036381,0.059275,0.151579,0.049948,2.019620,0.074156,0.050233,nan,1.000e-03,21.1
9,0.059000,0.033239,0.053926,0.152182,0.074756,2.004775,0.084160,0.063065,nan,1.000e-03,21.4
10,0.059000,0.034688,0.056424,0.155043,0.069411,2.015164,0.059261,0.038660,217.8312,1.000e-03,32.7
11,0.059000,0.031032,0.058575,0.144546,0.046899,2.000512,0.043226,0.025106,nan,1.000e-03,21.4
12,0.059000,0.027903,0.055768,0.135928,0.021215,2.010188,0.051721,0.032476,nan,1.000e-03,21.6
13,0.059000,0.028067,0.053602,0.140947,0.019898,1.997250,0.052052,0.032027,nan,1.000e-03,21.1
14,0.059000,0.028927,0.061532,0.143538,0.037512,2.003579,0.040940,0.024041,nan,1.000e-03,21.4
15,0.059000,0.028254,0.058053,0.138180,0.037324,1.998681,0.045804,0.027252,222.2642,1.000e-03,31.7
16,0.059000,0.029240,0.067296,0.142396,0.013637,1.995117,0.043821,0.025123,nan,1.000e-03,21.6
17,0.059000,0.030047,0.070207,0.140906,0.002060,2.002627,0.048134,0.026678,nan,1.000e-03,21.0
18,0.059000,0.027153,0.068726,0.136247,0.020614,2.002660,0.056996,0.035808,nan,1.000e-03,21.1
