epoch,recon,kl,perc,loss_g,loss_d,val_loss,val_recon,fid,lr,seconds
1,0.096063,0.042510,0.257972,0.255797,2.409911,0.186719,0.161199,nan,1.000e-03,41.3
2,0.097446,0.057159,0.256054,0.218587,1.661656,0.096499,0.067571,nan,1.000e-03,22.5
3,0.107745,0.020254,0.277435,0.243666,1.454341,0.126762,0.100688,nan,1.000e-03,22.9
4,0.120358,0.090348,0.307008,0.351242,0.638222,0.353141,0.144061,nan,1.000e-03,22.3
5,0.114470,0.125377,0.283500,0.373663,0.572939,0.146675,0.110490,323.9913,1.000e-03,36.0
6,0.101915,0.097555,0.263164,0.382070,0.400342,0.131297,0.103989,nan,1.000e-03,22.2
7,0.112566,0.113515,0.260207,0.353290,0.578253,0.119671,0.090029,nan,1.000e-03,21.3
8,0.091073,0.055447,0.277206,0.335753,0.731499,0.124529,0.092004,nan,1.000e-03,21.1
9,0.094590,0.100269,0.277486,0.330810,0.673999,0.135568,0.096738,nan,1.000e-03,22.1
10,0.103387,0.165741,0.277815,0.316399,0.783730,0.140656,0.093757,269.3794,1.000e-03,34.6
11,0.087370,0.132549,0.298482,0.281385,0.758788,0.205061,0.162700,nan,1.000e-03,22.3
12,0.088773,0.117540,0.299024,0.274687,0.718159,0.104439,0.074567,nan,1.000e-03,21.6
13,0.079740,0.180144,0.223168,0.310872,0.523869,0.085209,0.055971,nan,1.000e-03,21.5
14,0.070032,0.146560,0.225666,0.294221,0.606740,0.122905,0.091928,nan,1.000e-03,22.1
15,0.085180,0.131064,0.237786,0.292330,0.721222,0.111280,0.085813,266.7768,1.000e-03,39.6
16,0.091734,0.133778,0.223764,0.331562,0.648176,0.149449,0.120657,nan,1.000e-03,23.2
17,0.095386,0.130458,0.255480,0.311228,0.829228,0.109504,0.078087,nan,1.000e-03,22.9
18,0.078465,0.117187,0.252085,0.243617,0.887802,0.095483,0.067344,nan,1.000e-03,23.2
19,0.077203,0.112703,0.231246,0.252772,0.666583,0.087452,0.062866,nan,1.000e-03,22.4
20,0.097912,0.092938,0.250327,0.266416,0.682030,0.139280,0.107170,289.2141,1.000e-03,37.9
21,0.067418,0.103571,0.230041,0.232867,0.717675,0.090804,0.063434,nan,1.000e-03,21.4
22,0.081122,0.086146,0.237650,0.259531,0.766603,0.078360,0.048890,nan,1.000e-03,21.4
23,0.077172,0.086881,0.239572,0.265532,0.770303,0.105330,0.075320,nan,1.000e-03,21.5
24,0.090618,0.069929,0.260033,0.331808,0.402994,0.106313,0.075730,nan,1.000e-03,21.5
25,0.085185,0.131686,0.244736,0.280996,0.647214,0.096930,0.065461,260.4437,1.000e-03,35.2
26,0.067428,0.102215,0.228528,0.281138,0.635931,0.108656,0.080134,nan,1.000e-03,22.8
27,0.074055,0.110178,0.229923,0.273522,0.989357,0.081531,0.056829,nan,1.000e-03,22.0
28,0.065594,0.117045,0.233701,0.254939,0.620688,0.086897,0.053559,nan,1.000e-03,21.6
29,0.067829,0.087942,0.238788,0.226478,0.914857,0.118033,0.091440,nan,1.000e-03,21.4
30,0.083938,0.058921,0.242010,0.256727,0.863920,0.161528,0.101846,262.0215,1.000e-03,40.8
31,0.076864,0.071157,0.241419,0.265885,0.800275,0.078148,0.052263,nan,1.000e-03,21.6
32,0.085168,0.075329,0.235156,0.289656,0.432796,0.104216,0.078091,nan,1.000e-03,22.3
33,0.081163,0.075762,0.240166,0.255437,0.755815,0.080971,0.054177,nan,1.000e-03,22.4
34,0.069416,0.066580,0.243399,0.242751,0.721761,0.075180,0.049611,nan,1.000e-03,22.2
35,0.063445,0.075167,0.233227,0.211517,0.920171,0.072716,0.049382,252.5778,1.000e-03,36.1
36,0.066993,0.073243,0.228885,0.232023,0.925361,0.075476,0.049963,nan,1.000e-03,22.5
37,0.059774,0.065183,0.223259,0.206292,0.809231,0.085208,0.059881,nan,1.000e-03,21.6
38,0.064117,0.069421,0.224385,0.222998,0.909557,0.175220,0.147797,nan,1.000e-03,21.6
39,0.061535,0.089713,0.224140,0.223788,0.982712,0.084651,0.057851,nan,1.000e-03,21.9
40,0.053284,0.059983,0.221821,0.178106,1.041747,0.085945,0.059719,224.0658,1.000e-03,34.9
41,0.055914,0.063940,0.225988,0.182022,1.033778,0.098605,0.069485,nan,1.000e-03,22.6
42,0.057108,0.073707,0.231847,0.168733,1.345250,0.083005,0.056645,nan,1.000e-03,22.5
43,0.055968,0.063953,0.214839,0.164959,1.127362,0.084447,0.059225,nan,1.000e-03,22.6
44,0.052693,0.070243,0.215896,0.188801,0.933499,0.079325,0.053591,nan,1.000e-03,22.4
45,0.053175,0.076220,0.212021,0.179455,0.981111,0.073659,0.050480,198.0174,1.000e-03,37.8
46,0.049904,0.072394,0.212995,0.175150,1.086208,0.064690,0.040362,nan,1.000e-03,23.3
47,0.053960,0.083428,0.229247,0.263402,0.493787,0.081180,0.053280,nan,1.000e-03,22.4
48,0.052102,0.072251,0.213140,0.195113,0.914691,0.107403,0.077457,nan,1.000e-03,21.7
49,0.049560,0.088688,0.221104,0.192474,0.910450,0.080149,0.054056,nan,1.000e-03,22.0
50,0.050266,0.083703,0.215220,0.177219,0.925712,0.078838,0.050256,241.3626,1.000e-03,40.3
51,0.048299,0.082678,0.216129,0.191061,0.995337,0.062555,0.038818,nan,1.000e-03,22.4
52,0.048184,0.090803,0.215153,0.200238,1.018200,0.073165,0.045317,nan,1.000e-03,22.2
53,0.046831,0.086977,0.220279,0.209998,0.882471,0.067604,0.039222,nan,1.000e-03,22.4
54,0.045846,0.093433,0.222409,0.212375,0.796701,0.065787,0.038818,nan,1.000e-03,22.5
55,0.047475,0.080146,0.223003,0.222002,0.880184,0.081611,0.052750,200.9918,1.000e-03,42.2
56,0.044791,0.077010,0.220404,0.202142,0.915780,0.063686,0.036354,nan,1.000e-03,22.7
57,0.046422,0.086732,0.232247,0.175127,1.147474,0.079776,0.051078,nan,1.000e-03,22.4
58,0.043408,0.092579,0.221429,0.162471,1.091351,0.073835,0.045488,nan,1.000e-03,22.6
59,0.043386,0.094510,0.218873,0.188262,0.926118,0.072646,0.044393,nan,1.000e-03,23.0
60,0.040361,0.092200,0.217787,0.163886,1.323072,0.076712,0.047192,196.6694,1.000e-03,41.9
61,0.039599,0.091097,0.218132,0.211697,0.744087,0.079787,0.046726,nan,1.000e-03,22.6
62,0.040375,0.096878,0.230948,0.271224,0.733974,0.066771,0.036427,nan,1.000e-03,22.6
63,0.038763,0.090999,0.220761,0.226801,0.564494,0.066401,0.038778,nan,1.000e-03,22.3
64,0.040553,0.092742,0.227151,0.253931,0.625500,0.067015,0.039069,nan,1.000e-03,22.5
65,0.036746,0.090076,0.222738,0.220118,0.613309,0.061509,0.033768,142.2891,1.000e-03,35.7
66,0.037013,0.091611,0.213843,0.232800,0.683578,0.070970,0.040001,nan,1.000e-03,22.5
67,0.038668,0.093595,0.222303,0.223999,0.830228,0.066789,0.039950,nan,1.000e-03,22.1
68,0.045757,0.094855,0.215241,0.206282,0.909449,0.131483,0.086601,nan,1.000e-03,22.2
69,0.041396,0.123809,0.205986,0.170854,1.027144,0.059376,0.033214,nan,1.000e-03,22.8
70,0.039604,0.095111,0.207956,0.175509,1.039436,0.065801,0.038082,186.8736,1.000e-03,35.1
