epoch,beta,recon,kl,perc,loss_g,loss_d,val_loss,val_recon,fid,lr,seconds
1,0.059000,0.105516,0.031422,0.246336,0.282577,2.274205,0.128964,0.090807,nan,1.000e-03,36.0
2,0.059000,0.104667,0.026022,0.275523,0.249298,1.325422,0.099191,0.075012,nan,1.000e-03,21.8
3,0.059000,0.106481,0.006572,0.288167,0.376960,0.574490,0.090537,0.068422,nan,1.000e-03,21.7
4,0.059000,0.140175,0.026326,0.279988,0.427776,0.545427,0.196023,0.150580,nan,1.000e-03,21.5
5,0.059000,0.113013,0.038881,0.270828,0.424203,0.309560,0.118979,0.097567,331.1021,1.000e-03,33.0
6,0.059000,0.113214,0.043538,0.257403,0.367302,0.754788,0.141864,0.115774,nan,1.000e-03,21.7
7,0.059000,0.102413,0.046068,0.252258,0.269307,1.001155,0.096458,0.069130,nan,1.000e-03,21.0
8,0.059000,0.115657,0.055833,0.285284,0.285939,0.856562,0.110875,0.084306,nan,1.000e-03,21.7
9,0.059000,0.101640,0.014306,0.276777,0.303909,0.614081,0.099317,0.075310,nan,1.000e-03,21.4
10,0.059000,0.106868,0.015318,0.262917,0.330755,0.716989,0.104100,0.083582,304.6894,1.000e-03,35.5
11,0.059000,0.110376,0.033376,0.243180,0.296781,0.705686,0.093499,0.068320,nan,1.000e-03,21.9
12,0.059000,0.126362,0.039169,0.292162,0.356554,0.588423,0.129987,0.094604,nan,1.000e-03,21.4
13,0.059000,0.114861,0.017077,0.285687,0.334210,0.621876,0.098941,0.073401,nan,1.000e-03,21.4
14,0.059000,0.105854,0.064012,0.239363,0.276819,0.933791,0.100292,0.076019,nan,1.000e-03,21.2
15,0.059000,0.087481,0.124048,0.238132,0.331854,0.449668,0.098561,0.062383,268.1802,1.000e-03,31.5
16,0.059000,0.110316,0.141673,0.296255,0.318629,0.727792,0.117282,0.087176,nan,1.000e-03,21.8
17,0.059000,0.119303,0.026133,0.284766,0.324989,0.661624,0.140302,0.105996,nan,1.000e-03,21.2
18,0.059000,0.088425,0.110285,0.258377,0.297116,0.730250,0.095603,0.069021,nan,1.000e-03,21.7
19,0.059000,0.105384,0.098272,0.243596,0.317300,0.648416,0.094807,0.064425,nan,1.000e-03,21.3
20,0.059000,0.102870,0.053340,0.259839,0.283351,1.011949,0.105269,0.081304,259.6001,1.000e-03,32.0
21,0.059000,0.094214,0.083543,0.261312,0.290866,0.659694,0.155160,0.121305,nan,1.000e-03,21.7
22,0.059000,0.098841,0.105656,0.272098,0.325719,0.606654,0.082703,0.060621,nan,1.000e-03,21.4
23,0.059000,0.086682,0.096027,0.277036,0.353441,0.461183,0.127956,0.095465,nan,1.000e-03,21.8
24,0.059000,0.114739,0.073636,0.338693,0.333653,0.748189,0.132902,0.093073,nan,1.000e-03,21.2
25,0.059000,0.112197,0.129331,0.291649,0.309632,0.678804,0.121021,0.098024,269.3003,1.000e-03,31.7
