ratio,metric,value
0.0,precision:deposit,0.6834862385321101
0.0,recall:deposit,0.6234309623430963
0.0,f1:deposit,0.6520787746170679
0.0,support:deposit,239.0
0.0,precision:discontinuity,0.9509981851179673
0.0,recall:discontinuity,0.880672268907563
0.0,f1:discontinuity,0.9144851657940662
0.0,support:discontinuity,595.0
0.0,precision:pore,0.5862068965517241
0.0,recall:pore,0.2786885245901639
0.0,f1:pore,0.37777777777777777
0.0,support:pore,61.0
0.0,precision:stain,0.7801242236024845
0.0,recall:stain,0.8870056497175142
0.0,f1:stain,0.8301387970918706
0.0,support:stain,708.0
0.0,accuracy,0.8222083593262632
0.0,macro_f1,0.6936201288201956
0.0,weighted_f1,0.8176844750882329
0.0,n_synthetic,0.0
0.0,n_train,1090.0
0.25,precision:deposit,0.736318407960199
0.25,recall:deposit,0.6192468619246861
0.25,f1:deposit,0.6727272727272727
0.25,support:deposit,239.0
0.25,precision:discontinuity,0.9388111888111889
0.25,recall:discontinuity,0.9025210084033614
0.25,f1:discontinuity,0.9203084832904885
0.25,support:discontinuity,595.0
0.25,precision:pore,0.6875
0.25,recall:pore,0.36065573770491804
0.25,f1:pore,0.4731182795698925
0.25,support:pore,61.0
0.25,precision:stain,0.7919799498746867
0.25,recall:stain,0.8926553672316384
0.25,f1:stain,0.8393094289508631
0.25,support:stain,708.0
0.25,accuracy,0.835308796007486
0.25,macro_f1,0.7263658661346293
0.25,weighted_f1,0.8306030296260969
0.25,n_synthetic,327.0
0.25,n_train,1417.0
0.5,precision:deposit,0.7425149700598802
0.5,recall:deposit,0.5188284518828452
0.5,f1:deposit,0.6108374384236454
0.5,support:deposit,239.0
0.5,precision:discontinuity,0.9505494505494505
0.5,recall:discontinuity,0.8722689075630252
0.5,f1:discontinuity,0.9097283085013146
0.5,support:discontinuity,595.0
0.5,precision:pore,0.8235294117647058
0.5,recall:pore,0.22950819672131148
0.5,f1:pore,0.358974358974359
0.5,support:pore,61.0
0.5,precision:stain,0.7491408934707904
0.5,recall:stain,0.923728813559322
0.5,f1:stain,0.8273244781783682
0.5,support:stain,708.0
0.5,accuracy,0.817841547099189
0.5,macro_f1,0.6767161460194218
0.5,weighted_f1,0.807811389762479
0.5,n_synthetic,655.0
0.5,n_train,1745.0
0.75,precision:deposit,0.8175182481751825
0.75,recall:deposit,0.4686192468619247
0.75,f1:deposit,0.5957446808510638
0.75,support:deposit,239.0
0.75,precision:discontinuity,0.9725490196078431
0.75,recall:discontinuity,0.8336134453781513
0.75,f1:discontinuity,0.897737556561086
0.75,support:discontinuity,595.0
0.75,precision:pore,0.6097560975609756
0.75,recall:pore,0.4098360655737705
0.75,f1:pore,0.4901960784313726
0.75,support:pore,61.0
0.75,precision:stain,0.7344262295081967
0.75,recall:stain,0.9491525423728814
0.75,f1:stain,0.8280961182994455
0.75,support:stain,708.0
0.75,accuracy,0.8140985651902682
0.75,macro_f1,0.7029436085357419
0.75,weighted_f1,0.8064446895929954
0.75,n_synthetic,983.0
0.75,n_train,2073.0
1.0,precision:deposit,0.5544554455445545
1.0,recall:deposit,0.702928870292887
1.0,f1:deposit,0.6199261992619927
1.0,support:deposit,239.0
1.0,precision:discontinuity,0.9778325123152709
1.0,recall:discontinuity,0.6672268907563025
1.0,f1:discontinuity,0.7932067932067932
1.0,support:discontinuity,595.0
1.0,precision:pore,0.5625
1.0,recall:pore,0.29508196721311475
1.0,f1:pore,0.3870967741935484
1.0,support:pore,61.0
1.0,precision:stain,0.6983758700696056
1.0,recall:stain,0.8502824858757062
1.0,f1:stain,0.7668789808917198
1.0,support:stain,708.0
1.0,accuracy,0.7392389270118528
1.0,macro_f1,0.6417771868885136
1.0,weighted_f1,0.7402892235051792
1.0,n_synthetic,1310.0
1.0,n_train,2400.0
