ratio,metric,value
0.0,precision:deposit,0.6111111111111112
0.0,recall:deposit,0.4602510460251046
0.0,f1:deposit,0.5250596658711217
0.0,support:deposit,239.0
0.0,precision:discontinuity,0.8589540412044374
0.0,recall:discontinuity,0.9109243697478991
0.0,f1:discontinuity,0.8841761827079935
0.0,support:discontinuity,595.0
0.0,precision:pore,0.8
0.0,recall:pore,0.13114754098360656
0.0,f1:pore,0.22535211267605634
0.0,support:pore,61.0
0.0,precision:stain,0.7506393861892583
0.0,recall:stain,0.8290960451977402
0.0,f1:stain,0.7879194630872484
0.0,support:stain,708.0
0.0,accuracy,0.7779164067373674
0.0,macro_f1,0.605626856085605
0.0,weighted_f1,0.7630490003702216
0.0,n_synthetic,0.0
0.0,n_train,1090.0
0.25,precision:deposit,0.703030303030303
0.25,recall:deposit,0.48535564853556484
0.25,f1:deposit,0.5742574257425742
0.25,support:deposit,239.0
0.25,precision:discontinuity,0.9547244094488189
0.25,recall:discontinuity,0.8151260504201681
0.25,f1:discontinuity,0.8794197642792384
0.25,support:discontinuity,595.0
0.25,precision:pore,0.5172413793103449
0.25,recall:pore,0.2459016393442623
0.25,f1:pore,0.3333333333333333
0.25,support:pore,61.0
0.25,precision:stain,0.7247502774694784
0.25,recall:stain,0.922316384180791
0.25,f1:stain,0.8116842759477936
0.25,support:stain,708.0
0.25,accuracy,0.7916406737367436
0.25,macro_f1,0.6496736998257349
0.25,weighted_f1,0.7832240082364275
0.25,n_synthetic,327.0
0.25,n_train,1417.0
0.5,precision:deposit,0.6476683937823834
0.5,recall:deposit,0.5230125523012552
0.5,f1:deposit,0.5787037037037037
0.5,support:deposit,239.0
0.5,precision:discontinuity,0.9210526315789473
0.5,recall:discontinuity,0.8823529411764706
0.5,f1:discontinuity,0.9012875536480687
0.5,support:discontinuity,595.0
0.5,precision:pore,0.4528301886792453
0.5,recall:pore,0.39344262295081966
0.5,f1:pore,0.42105263157894735
0.5,support:pore,61.0
0.5,precision:stain,0.770012706480305
0.5,recall:stain,0.8559322033898306
0.5,f1:stain,0.8107023411371238
0.5,support:stain,708.0
0.5,accuracy,0.7985028072364317
0.5,macro_f1,0.6779365575169609
0.5,weighted_f1,0.7949081395241332
0.5,n_synthetic,655.0
0.5,n_train,1745.0
0.75,precision:deposit,0.5925925925925926
0.75,recall:deposit,0.602510460251046
0.75,f1:deposit,0.5975103734439834
0.75,support:deposit,239.0
0.75,precision:discontinuity,0.9411764705882353
0.75,recall:discontinuity,0.8067226890756303
0.75,f1:discontinuity,0.8687782805429864
0.75,support:discontinuity,595.0
0.75,precision:pore,0.6875
0.75,recall:pore,0.18032786885245902
0.75,f1:pore,0.2857142857142857
0.75,support:pore,61.0
0.75,precision:stain,0.7290167865707434
0.75,recall:stain,0.8587570621468926
0.75,f1:stain,0.7885862516212712
0.75,support:stain,708.0
0.75,accuracy,0.7754210854647536
0.75,macro_f1,0.6351472978306316
0.75,weighted_f1,0.7707271951045667
0.75,n_synthetic,983.0
0.75,n_train,2073.0
1.0,precision:deposit,0.5978260869565217
1.0,recall:deposit,0.6903765690376569
1.0,f1:deposit,0.6407766990291262
1.0,support:deposit,239.0
1.0,precision:discontinuity,0.8993399339933993
1.0,recall:discontinuity,0.9159663865546218
1.0,f1:discontinuity,0.9075770191507077
1.0,support:discontinuity,595.0
1.0,precision:pore,0.6363636363636364
1.0,recall:pore,0.22950819672131148
1.0,f1:pore,0.3373493975903614
1.0,support:pore,61.0
1.0,precision:stain,0.8183118741058655
1.0,recall:stain,0.807909604519774
1.0,f1:stain,0.8130774697938877
1.0,support:stain,708.0
1.0,accuracy,0.8084840923268871
1.0,macro_f1,0.6746951463910208
1.0,weighted_f1,0.804361272195706
1.0,n_synthetic,1310.0
1.0,n_train,2400.0
