ratio,metric,value
0.0,precision:deposit,0.9090909090909091
0.0,recall:deposit,0.2928870292887029
0.0,f1:deposit,0.4430379746835443
0.0,support:deposit,239.0
0.0,precision:discontinuity,0.9549019607843138
0.0,recall:discontinuity,0.8184873949579832
0.0,f1:discontinuity,0.8814479638009051
0.0,support:discontinuity,595.0
0.0,precision:pore,0.7083333333333334
0.0,recall:pore,0.2786885245901639
0.0,f1:pore,0.39999999999999997
0.0,support:pore,61.0
0.0,precision:stain,0.6925403225806451
0.0,recall:stain,0.9703389830508474
0.0,f1:stain,0.8082352941176469
0.0,support:stain,708.0
0.0,accuracy,0.7866500311915159
0.0,macro_f1,0.6331803081505241
0.0,weighted_f1,0.765426202524142
0.0,n_synthetic,0.0
0.0,n_train,1090.0
0.25,precision:deposit,0.7354497354497355
0.25,recall:deposit,0.5815899581589958
0.25,f1:deposit,0.649532710280374
0.25,support:deposit,239.0
0.25,precision:discontinuity,0.9526411657559198
0.25,recall:discontinuity,0.8789915966386554
0.25,f1:discontinuity,0.9143356643356643
0.25,support:discontinuity,595.0
0.25,precision:pore,0.575
0.25,recall:pore,0.3770491803278688
0.25,f1:pore,0.4554455445544554
0.25,support:pore,61.0
0.25,precision:stain,0.7709090909090909
0.25,recall:stain,0.8983050847457628
0.25,f1:stain,0.8297455968688847
0.25,support:stain,708.0
0.25,accuracy,0.8240798502807236
0.25,macro_f1,0.7122648790098447
0.25,weighted_f1,0.820031253173875
0.25,n_synthetic,327.0
0.25,n_train,1417.0
0.5,precision:deposit,0.7209302325581395
0.5,recall:deposit,0.5188284518828452
0.5,f1:deposit,0.6034063260340633
0.5,support:deposit,239.0
0.5,precision:discontinuity,0.949343339587242
0.5,recall:discontinuity,0.8504201680672269
0.5,f1:discontinuity,0.8971631205673758
0.5,support:discontinuity,595.0
0.5,precision:pore,0.6666666666666666
0.5,recall:pore,0.13114754098360656
0.5,f1:pore,0.2191780821917808
0.5,support:pore,61.0
0.5,precision:stain,0.7347629796839729
0.5,recall:stain,0.9194915254237288
0.5,f1:stain,0.8168130489335006
0.5,support:stain,708.0
0.5,accuracy,0.8041172800998129
0.5,macro_f1,0.6341401444316801
0.5,weighted_f1,0.7920771492940404
0.5,n_synthetic,655.0
0.5,n_train,1745.0
0.75,precision:deposit,0.7528735632183908
0.75,recall:deposit,0.5481171548117155
0.75,f1:deposit,0.6343825665859565
0.75,support:deposit,239.0
0.75,precision:discontinuity,0.9348591549295775
0.75,recall:discontinuity,0.892436974789916
0.75,f1:discontinuity,0.9131556319862425
0.75,support:discontinuity,595.0
0.75,precision:pore,0.6470588235294118
0.75,recall:pore,0.36065573770491804
0.75,f1:pore,0.4631578947368421
0.75,support:pore,61.0
0.75,precision:stain,0.7787182587666264
0.75,recall:stain,0.9096045197740112
0.75,f1:stain,0.8390879478827362
0.75,support:stain,708.0
0.75,accuracy,0.8284466625077979
0.75,macro_f1,0.7124460102979444
0.75,weighted_f1,0.8217541691364832
0.75,n_synthetic,983.0
0.75,n_train,2073.0
1.0,precision:deposit,0.7514450867052023
1.0,recall:deposit,0.5439330543933054
1.0,f1:deposit,0.6310679611650486
1.0,support:deposit,239.0
1.0,precision:discontinuity,0.9233390119250426
1.0,recall:discontinuity,0.9109243697478991
1.0,f1:discontinuity,0.9170896785109984
1.0,support:discontinuity,595.0
1.0,precision:pore,0.6551724137931034
1.0,recall:pore,0.3114754098360656
1.0,f1:pore,0.4222222222222222
1.0,support:pore,61.0
1.0,precision:stain,0.7788697788697788
1.0,recall:stain,0.8954802259887006
1.0,f1:stain,0.8331143232588699
1.0,support:stain,708.0
1.0,accuracy,0.8265751715533375
1.0,macro_f1,0.7008735462892848
1.0,weighted_f1,0.8185240785123682
1.0,n_synthetic,1310.0
1.0,n_train,2400.0
