ratio,metric,value
0.0,precision:deposit,0.7584541062801933
0.0,recall:deposit,0.6569037656903766
0.0,f1:deposit,0.7040358744394619
0.0,support:deposit,239.0
0.0,precision:discontinuity,0.9292929292929293
0.0,recall:discontinuity,0.9277310924369748
0.0,f1:discontinuity,0.928511354079058
0.0,support:discontinuity,595.0
0.0,precision:pore,0.7297297297297297
0.0,recall:pore,0.4426229508196721
0.0,f1:pore,0.5510204081632653
0.0,support:pore,61.0
0.0,precision:stain,0.8183006535947712
0.0,recall:stain,0.884180790960452
0.0,f1:stain,0.8499660556687033
0.0,support:stain,708.0
0.0,accuracy,0.8496568933250156
0.0,macro_f1,0.7583834230876221
0.0,weighted_f1,0.8459869257513862
0.0,n_synthetic,0.0
0.0,n_train,1090.0
0.25,precision:deposit,0.6468085106382979
0.25,recall:deposit,0.6359832635983264
0.25,f1:deposit,0.6413502109704642
0.25,support:deposit,239.0
0.25,precision:discontinuity,0.9412780656303973
0.25,recall:discontinuity,0.9159663865546218
0.25,f1:discontinuity,0.928449744463373
0.25,support:discontinuity,595.0
0.25,precision:pore,0.7058823529411765
0.25,recall:pore,0.39344262295081966
0.25,f1:pore,0.5052631578947367
0.25,support:pore,61.0
0.25,precision:stain,0.8026490066225166
0.25,recall:stain,0.8559322033898306
0.25,f1:stain,0.8284347231715653
0.25,support:stain,708.0
0.25,accuracy,0.8278228321896444
0.25,macro_f1,0.7258744591250348
0.25,weighted_f1,0.8253668964533344
0.25,n_synthetic,327.0
0.25,n_train,1417.0
0.5,precision:deposit,0.7311827956989247
0.5,recall:deposit,0.5690376569037657
0.5,f1:deposit,0.6400000000000001
0.5,support:deposit,239.0
0.5,precision:discontinuity,0.9318568994889267
0.5,recall:discontinuity,0.9193277310924369
0.5,f1:discontinuity,0.9255499153976311
0.5,support:discontinuity,595.0
0.5,precision:pore,0.6829268292682927
0.5,recall:pore,0.45901639344262296
0.5,f1:pore,0.5490196078431373
0.5,support:pore,61.0
0.5,precision:stain,0.8048162230671736
0.5,recall:stain,0.8968926553672316
0.5,f1:stain,0.8483633934535738
0.5,support:stain,708.0
0.5,accuracy,0.8396756082345602
0.5,macro_f1,0.7407332291735855
0.5,weighted_f1,0.8345562559607937
0.5,n_synthetic,655.0
0.5,n_train,1745.0
0.75,precision:deposit,0.7336956521739131
0.75,recall:deposit,0.5648535564853556
0.75,f1:deposit,0.6382978723404256
0.75,support:deposit,239.0
0.75,precision:discontinuity,0.9401709401709402
0.75,recall:discontinuity,0.9243697478991597
0.75,f1:discontinuity,0.9322033898305084
0.75,support:discontinuity,595.0
0.75,precision:pore,0.6097560975609756
0.75,recall:pore,0.4098360655737705
0.75,f1:pore,0.4901960784313726
0.75,support:pore,61.0
0.75,precision:stain,0.8045397225725095
0.75,recall:stain,0.9011299435028248
0.75,f1:stain,0.8500999333777483
0.75,support:stain,708.0
0.75,accuracy,0.8409232688708671
0.75,macro_f1,0.7276993184950137
0.75,weighted_f1,0.8353006375884428
0.75,n_synthetic,983.0
0.75,n_train,2073.0
1.0,precision:deposit,0.7976878612716763
1.0,recall:deposit,0.5774058577405857
1.0,f1:deposit,0.6699029126213593
1.0,support:deposit,239.0
1.0,precision:discontinuity,0.9266666666666666
1.0,recall:discontinuity,0.934453781512605
1.0,f1:discontinuity,0.9305439330543934
1.0,support:discontinuity,595.0
1.0,precision:pore,0.54
1.0,recall:pore,0.4426229508196721
1.0,f1:pore,0.48648648648648646
1.0,support:pore,61.0
1.0,precision:stain,0.8179487179487179
1.0,recall:stain,0.9011299435028248
1.0,f1:stain,0.85752688172043
1.0,support:stain,708.0
1.0,accuracy,0.8477854023705552
1.0,macro_f1,0.7361150534706673
1.0,weighted_f1,0.8425359602106107
1.0,n_synthetic,1310.0
1.0,n_train,2400.0
