ratio,metric,value
0.0,precision:deposit,0.725
0.0,recall:deposit,0.606694560669456
0.0,f1:deposit,0.6605922551252847
0.0,support:deposit,239.0
0.0,precision:discontinuity,0.9558823529411765
0.0,recall:discontinuity,0.8739495798319328
0.0,f1:discontinuity,0.913081650570676
0.0,support:discontinuity,595.0
0.0,precision:pore,0.5641025641025641
0.0,recall:pore,0.36065573770491804
0.0,f1:pore,0.44000000000000006
0.0,support:pore,61.0
0.0,precision:stain,0.7719512195121951
0.0,recall:stain,0.8940677966101694
0.0,f1:stain,0.8285340314136125
0.0,support:stain,708.0
0.0,accuracy,0.8234560199625702
0.0,macro_f1,0.7105519842773933
0.0,weighted_f1,0.8200918436090662
0.0,n_synthetic,0.0
0.0,n_train,1090.0
0.25,precision:deposit,0.717948717948718
0.25,recall:deposit,0.5857740585774058
0.25,f1:deposit,0.6451612903225805
0.25,support:deposit,239.0
0.25,precision:discontinuity,0.9228070175438596
0.25,recall:discontinuity,0.8840336134453781
0.25,f1:discontinuity,0.9030042918454935
0.25,support:discontinuity,595.0
0.25,precision:pore,0.59375
0.25,recall:pore,0.3114754098360656
0.25,f1:pore,0.40860215053763443
0.25,support:pore,61.0
0.25,precision:stain,0.7729528535980149
0.25,recall:stain,0.8799435028248588
0.25,f1:stain,0.8229854689564069
0.25,support:stain,708.0
0.25,accuracy,0.8159700561447286
0.25,macro_f1,0.6949383004155288
0.25,weighted_f1,0.810405206013161
0.25,n_synthetic,327.0
0.25,n_train,1417.0
0.5,precision:deposit,0.835820895522388
0.5,recall:deposit,0.4686192468619247
0.5,f1:deposit,0.6005361930294906
0.5,support:deposit,239.0
0.5,precision:discontinuity,0.8845528455284553
0.5,recall:discontinuity,0.9142857142857143
0.5,f1:discontinuity,0.8991735537190082
0.5,support:discontinuity,595.0
0.5,precision:pore,0.6538461538461539
0.5,recall:pore,0.2786885245901639
0.5,f1:pore,0.3908045977011494
0.5,support:pore,61.0
0.5,precision:stain,0.7705314009661836
0.5,recall:stain,0.9011299435028248
0.5,f1:stain,0.8307291666666667
0.5,support:stain,708.0
0.5,accuracy,0.817841547099189
0.5,macro_f1,0.6803108777790787
0.5,weighted_f1,0.8050728291058191
0.5,n_synthetic,655.0
0.5,n_train,1745.0
0.75,precision:deposit,0.7530864197530864
0.75,recall:deposit,0.5104602510460251
0.75,f1:deposit,0.6084788029925187
0.75,support:deposit,239.0
0.75,precision:discontinuity,0.9098497495826378
0.75,recall:discontinuity,0.9159663865546218
0.75,f1:discontinuity,0.9128978224455612
0.75,support:discontinuity,595.0
0.75,precision:pore,0.7083333333333334
0.75,recall:pore,0.2786885245901639
0.75,f1:pore,0.39999999999999997
0.75,support:pore,61.0
0.75,precision:stain,0.773838630806846
0.75,recall:stain,0.8940677966101694
0.75,f1:stain,0.8296199213630406
0.75,support:stain,708.0
0.75,accuracy,0.8215845290081097
0.75,macro_f1,0.6877491367002802
0.75,weighted_f1,0.811211193134968
0.75,n_synthetic,983.0
0.75,n_train,2073.0
1.0,precision:deposit,0.717741935483871
1.0,recall:deposit,0.3723849372384937
1.0,f1:deposit,0.49035812672176304
1.0,support:deposit,239.0
1.0,precision:discontinuity,0.8446153846153847
1.0,recall:discontinuity,0.9226890756302522
1.0,f1:discontinuity,0.8819277108433734
1.0,support:discontinuity,595.0
1.0,precision:pore,0.48936170212765956
1.0,recall:pore,0.3770491803278688
1.0,f1:pore,0.42592592592592593
1.0,support:pore,61.0
1.0,precision:stain,0.7698209718670077
1.0,recall:stain,0.8502824858757062
1.0,f1:stain,0.8080536912751678
1.0,support:stain,708.0
1.0,accuracy,0.7878976918278229
1.0,macro_f1,0.6515663636915576
1.0,weighted_f1,0.7735658609748028
1.0,n_synthetic,1310.0
1.0,n_train,2400.0
