ratio,metric,value
0.0,precision:deposit,0.7091836734693877
0.0,recall:deposit,0.5815899581589958
0.0,f1:deposit,0.639080459770115
0.0,support:deposit,239.0
0.0,precision:discontinuity,0.9391304347826087
0.0,recall:discontinuity,0.907563025210084
0.0,f1:discontinuity,0.9230769230769231
0.0,support:discontinuity,595.0
0.0,precision:pore,0.5
0.0,recall:pore,0.26229508196721313
0.0,f1:pore,0.3440860215053763
0.0,support:pore,61.0
0.0,precision:stain,0.785
0.0,recall:stain,0.8870056497175142
0.0,f1:stain,0.8328912466843502
0.0,support:stain,708.0
0.0,accuracy,0.8253275109170306
0.0,macro_f1,0.6847836627591911
0.0,weighted_f1,0.8188691510169525
0.0,n_synthetic,0.0
0.0,n_train,1090.0
0.25,precision:deposit,0.6411764705882353
0.25,recall:deposit,0.4560669456066946
0.25,f1:deposit,0.5330073349633253
0.25,support:deposit,239.0
0.25,precision:discontinuity,0.7072570725707257
0.25,recall:discontinuity,0.9663865546218487
0.25,f1:discontinuity,0.8167613636363635
0.25,support:discontinuity,595.0
0.25,precision:pore,0.21678321678321677
0.25,recall:pore,0.5081967213114754
0.25,f1:pore,0.30392156862745096
0.25,support:pore,61.0
0.25,precision:stain,0.8616352201257862
0.25,recall:stain,0.5805084745762712
0.25,f1:stain,0.6936708860759494
0.25,support:stain,708.0
0.25,accuracy,0.7024329382407986
0.25,macro_f1,0.5868402883257723
0.25,weighted_f1,0.7005739035857254
0.25,n_synthetic,327.0
0.25,n_train,1417.0
0.5,precision:deposit,0.6965174129353234
0.5,recall:deposit,0.5857740585774058
0.5,f1:deposit,0.6363636363636365
0.5,support:deposit,239.0
0.5,precision:discontinuity,0.9333333333333333
0.5,recall:discontinuity,0.8941176470588236
0.5,f1:discontinuity,0.9133047210300429
0.5,support:discontinuity,595.0
0.5,precision:pore,0.6206896551724138
0.5,recall:pore,0.29508196721311475
0.5,f1:pore,0.4
0.5,support:pore,61.0
0.5,precision:stain,0.7745952677459527
0.5,recall:stain,0.8785310734463276
0.5,f1:stain,0.8232958305757776
0.5,support:stain,708.0
0.5,accuracy,0.8184653774173425
0.5,macro_f1,0.6932410469923642
0.5,weighted_f1,0.8127265540557923
0.5,n_synthetic,655.0
0.5,n_train,1745.0
0.75,precision:deposit,0.7453416149068323
0.75,recall:deposit,0.502092050209205
0.75,f1:deposit,0.6
0.75,support:deposit,239.0
0.75,precision:discontinuity,0.9280701754385965
0.75,recall:discontinuity,0.8890756302521008
0.75,f1:discontinuity,0.9081545064377682
0.75,support:discontinuity,595.0
0.75,precision:pore,0.7666666666666667
0.75,recall:pore,0.3770491803278688
0.75,f1:pore,0.5054945054945054
0.75,support:pore,61.0
0.75,precision:stain,0.7612826603325415
0.75,recall:stain,0.905367231638418
0.75,f1:stain,0.8270967741935484
0.75,support:stain,708.0
0.75,accuracy,0.819089207735496
0.75,macro_f1,0.7101864465314555
0.75,weighted_f1,0.8110864705518834
0.75,n_synthetic,983.0
0.75,n_train,2073.0
1.0,precision:deposit,0.7471910112359551
1.0,recall:deposit,0.5564853556485355
1.0,f1:deposit,0.6378896882494005
1.0,support:deposit,239.0
1.0,precision:discontinuity,0.9361313868613139
1.0,recall:discontinuity,0.8621848739495799
1.0,f1:discontinuity,0.8976377952755905
1.0,support:discontinuity,595.0
1.0,precision:pore,0.7058823529411765
1.0,recall:pore,0.39344262295081966
1.0,f1:pore,0.5052631578947367
1.0,support:pore,61.0
1.0,precision:stain,0.7603795966785291
1.0,recall:stain,0.905367231638418
1.0,f1:stain,0.8265635074145712
1.0,support:stain,708.0
1.0,accuracy,0.817841547099189
1.0,macro_f1,0.7168385372085748
1.0,weighted_f1,0.8125877352225068
1.0,n_synthetic,1310.0
1.0,n_train,2400.0
