ratio,metric,value
0.0,precision:deposit,0.72
0.0,recall:deposit,0.37656903765690375
0.0,f1:deposit,0.49450549450549447
0.0,support:deposit,239.0
0.0,precision:discontinuity,0.9349005424954792
0.0,recall:discontinuity,0.8689075630252101
0.0,f1:discontinuity,0.9006968641114983
0.0,support:discontinuity,595.0
0.0,precision:pore,0.7142857142857143
0.0,recall:pore,0.08196721311475409
0.0,f1:pore,0.14705882352941174
0.0,support:pore,61.0
0.0,precision:stain,0.7189542483660131
0.0,recall:stain,0.9322033898305084
0.0,f1:stain,0.8118081180811808
0.0,support:stain,708.0
0.0,accuracy,0.793512164691204
0.0,macro_f1,0.5885173250568964
0.0,weighted_f1,0.7721972446474891
0.0,n_synthetic,0.0
0.0,n_train,1090.0
0.25,precision:deposit,0.6363636363636364
0.25,recall:deposit,0.4100418410041841
0.25,f1:deposit,0.49872773536895676
0.25,support:deposit,239.0
0.25,precision:discontinuity,0.7547169811320755
0.25,recall:discontinuity,0.9411764705882353
0.25,f1:discontinuity,0.837696335078534
0.25,support:discontinuity,595.0
0.25,precision:pore,0.5333333333333333
0.25,recall:pore,0.26229508196721313
0.25,f1:pore,0.3516483516483517
0.25,support:pore,61.0
0.25,precision:stain,0.7459379615952733
0.25,recall:stain,0.713276836158192
0.25,f1:stain,0.7292418772563176
0.25,support:stain,708.0
0.25,accuracy,0.735495945102932
0.25,macro_f1,0.60432857483804
0.25,weighted_f1,0.7207604782738182
0.25,n_synthetic,327.0
0.25,n_train,1417.0
0.5,precision:deposit,0.7368421052631579
0.5,recall:deposit,0.5271966527196653
0.5,f1:deposit,0.6146341463414634
0.5,support:deposit,239.0
0.5,precision:discontinuity,0.9258589511754068
0.5,recall:discontinuity,0.8605042016806723
0.5,f1:discontinuity,0.89198606271777
0.5,support:discontinuity,595.0
0.5,precision:pore,0.5581395348837209
0.5,recall:pore,0.39344262295081966
0.5,f1:pore,0.4615384615384615
0.5,support:pore,61.0
0.5,precision:stain,0.7583732057416268
0.5,recall:stain,0.8954802259887006
0.5,f1:stain,0.8212435233160622
0.5,support:stain,708.0
0.5,accuracy,0.8084840923268871
0.5,macro_f1,0.6973505484784392
0.5,weighted_f1,0.8030090636021842
0.5,n_synthetic,655.0
0.5,n_train,1745.0
0.75,precision:deposit,0.6428571428571429
0.75,recall:deposit,0.6401673640167364
0.75,f1:deposit,0.6415094339622641
0.75,support:deposit,239.0
0.75,precision:discontinuity,0.9184397163120568
0.75,recall:discontinuity,0.8705882352941177
0.75,f1:discontinuity,0.8938740293356342
0.75,support:discontinuity,595.0
0.75,precision:pore,0.46153846153846156
0.75,recall:pore,0.39344262295081966
0.75,f1:pore,0.42477876106194695
0.75,support:pore,61.0
0.75,precision:stain,0.7770360480640854
0.75,recall:stain,0.8220338983050848
0.75,f1:stain,0.7989018531228552
0.75,support:stain,708.0
0.75,accuracy,0.7966313162819713
0.75,macro_f1,0.689766019370675
0.75,weighted_f1,0.7964502923315306
0.75,n_synthetic,983.0
0.75,n_train,2073.0
1.0,precision:deposit,0.5487179487179488
1.0,recall:deposit,0.4476987447698745
1.0,f1:deposit,0.49308755760368667
1.0,support:deposit,239.0
1.0,precision:discontinuity,0.8505747126436781
1.0,recall:discontinuity,0.8705882352941177
1.0,f1:discontinuity,0.8604651162790696
1.0,support:discontinuity,595.0
1.0,precision:pore,0.625
1.0,recall:pore,0.16393442622950818
1.0,f1:pore,0.2597402597402597
1.0,support:pore,61.0
1.0,precision:stain,0.719029374201788
1.0,recall:stain,0.7951977401129944
1.0,f1:stain,0.7551978537894031
1.0,support:stain,708.0
1.0,accuracy,0.7473487211478478
1.0,macro_f1,0.5921226968531048
1.0,weighted_f1,0.7363374340488963
1.0,n_synthetic,1310.0
1.0,n_train,2400.0
