ratio,metric,value
0.0,precision:deposit,0.7865853658536586
0.0,recall:deposit,0.5308641975308642
0.0,f1:deposit,0.6339066339066339
0.0,support:deposit,243.0
0.0,precision:discontinuity,0.9469964664310954
0.0,recall:discontinuity,0.8673139158576052
0.0,f1:discontinuity,0.9054054054054054
0.0,support:discontinuity,618.0
0.0,precision:pore,0.6060606060606061
0.0,recall:pore,0.30303030303030304
0.0,f1:pore,0.40404040404040403
0.0,support:pore,66.0
0.0,precision:stain,0.7534403669724771
0.0,recall:stain,0.9279661016949152
0.0,f1:stain,0.8316455696202532
0.0,support:stain,708.0
0.0,accuracy,0.8207951070336391
0.0,macro_f1,0.6937495032431741
0.0,weighted_f1,0.8128755856499439
0.0,n_synthetic,0.0
0.0,n_train,1090.0
0.25,precision:deposit,0.7564102564102564
0.25,recall:deposit,0.48559670781893005
0.25,f1:deposit,0.5914786967418546
0.25,support:deposit,243.0
0.25,precision:discontinuity,0.9343434343434344
0.25,recall:discontinuity,0.8980582524271845
0.25,f1:discontinuity,0.9158415841584159
0.25,support:discontinuity,618.0
0.25,precision:pore,0.7647058823529411
0.25,recall:pore,0.3939393939393939
0.25,f1:pore,0.5199999999999999
0.25,support:pore,66.0
0.25,precision:stain,0.763807285546416
0.25,recall:stain,0.9180790960451978
0.25,f1:stain,0.8338678640153944
0.25,support:stain,708.0
0.25,accuracy,0.8250764525993883
0.25,macro_f1,0.7152970362289163
0.25,weighted_f1,0.816157718679554
0.25,n_synthetic,327.0
0.25,n_train,1417.0
0.5,precision:deposit,0.7142857142857143
0.5,recall:deposit,0.49382716049382713
0.5,f1:deposit,0.583941605839416
0.5,support:deposit,243.0
0.5,precision:discontinuity,0.910828025477707
0.5,recall:discontinuity,0.9255663430420712
0.5,f1:discontinuity,0.9181380417335474
0.5,support:discontinuity,618.0
0.5,precision:pore,0.6818181818181818
0.5,recall:pore,0.22727272727272727
0.5,f1:pore,0.3409090909090909
0.5,support:pore,66.0
0.5,precision:stain,0.7796817625458996
0.5,recall:stain,0.8997175141242938
0.5,f1:stain,0.8354098360655737
0.5,support:stain,708.0
0.5,accuracy,0.8220183486238533
0.5,macro_f1,0.6695996436369069
0.5,weighted_f1,0.8093439045533557
0.5,n_synthetic,655.0
0.5,n_train,1745.0
0.75,precision:deposit,0.7142857142857143
0.75,recall:deposit,0.4732510288065844
0.75,f1:deposit,0.5693069306930693
0.75,support:deposit,243.0
0.75,precision:discontinuity,0.8046132971506106
0.75,recall:discontinuity,0.959546925566343
0.75,f1:discontinuity,0.8752767527675276
0.75,support:discontinuity,618.0
0.75,precision:pore,0.76
0.75,recall:pore,0.2878787878787879
0.75,f1:pore,0.41758241758241765
0.75,support:pore,66.0
0.75,precision:stain,0.8061797752808989
0.75,recall:stain,0.8107344632768362
0.75,f1:stain,0.8084507042253521
0.75,support:stain,708.0
0.75,accuracy,0.7957186544342507
0.75,macro_f1,0.6676542013170916
0.75,weighted_f1,0.7823890859454049
0.75,n_synthetic,983.0
0.75,n_train,2073.0
1.0,precision:deposit,0.7756410256410257
1.0,recall:deposit,0.49794238683127573
1.0,f1:deposit,0.6065162907268171
1.0,support:deposit,243.0
1.0,precision:discontinuity,0.9439728353140917
1.0,recall:discontinuity,0.8996763754045307
1.0,f1:discontinuity,0.9212924606462304
1.0,support:discontinuity,618.0
1.0,precision:pore,0.6521739130434783
1.0,recall:pore,0.22727272727272727
1.0,f1:pore,0.33707865168539325
1.0,support:pore,66.0
1.0,precision:stain,0.7589388696655133
1.0,recall:stain,0.9293785310734464
1.0,f1:stain,0.8355555555555556
1.0,support:stain,708.0
1.0,accuracy,0.8256880733944955
1.0,macro_f1,0.6751107396534991
1.0,weighted_f1,0.8137998309911659
1.0,n_synthetic,1310.0
1.0,n_train,2400.0
