ratio,metric,value
0.0,precision:deposit,0.6810810810810811
0.0,recall:deposit,0.5271966527196653
0.0,f1:deposit,0.5943396226415094
0.0,support:deposit,239.0
0.0,precision:discontinuity,0.9353680430879713
0.0,recall:discontinuity,0.8756302521008403
0.0,f1:discontinuity,0.9045138888888888
0.0,support:discontinuity,595.0
0.0,precision:pore,0.5135135135135135
0.0,recall:pore,0.3114754098360656
0.0,f1:pore,0.3877551020408163
0.0,support:pore,61.0
0.0,precision:stain,0.7597087378640777
0.0,recall:stain,0.884180790960452
0.0,f1:stain,0.8172323759791122
0.0,support:stain,708.0
0.0,accuracy,0.8059887710542732
0.0,macro_f1,0.6759602473875816
0.0,weighted_f1,0.800053972001192
0.0,n_synthetic,0.0
0.0,n_train,1090.0
0.25,precision:deposit,0.6919191919191919
0.25,recall:deposit,0.5732217573221757
0.25,f1:deposit,0.6270022883295194
0.25,support:deposit,239.0
0.25,precision:discontinuity,0.917098445595855
0.25,recall:discontinuity,0.892436974789916
0.25,f1:discontinuity,0.9045996592844975
0.25,support:discontinuity,595.0
0.25,precision:pore,0.5405405405405406
0.25,recall:pore,0.32786885245901637
0.25,f1:pore,0.4081632653061225
0.25,support:pore,61.0
0.25,precision:stain,0.7832699619771863
0.25,recall:stain,0.8728813559322034
0.25,f1:stain,0.8256513026052105
0.25,support:stain,708.0
0.25,accuracy,0.8147223955084217
0.25,macro_f1,0.6913541288813374
0.25,weighted_f1,0.8094506710001209
0.25,n_synthetic,327.0
0.25,n_train,1417.0
0.5,precision:deposit,0.6413793103448275
0.5,recall:deposit,0.3891213389121339
0.5,f1:deposit,0.48437499999999994
0.5,support:deposit,239.0
0.5,precision:discontinuity,0.9607476635514018
0.5,recall:discontinuity,0.8638655462184874
0.5,f1:discontinuity,0.9097345132743363
0.5,support:discontinuity,595.0
0.5,precision:pore,0.4
0.5,recall:pore,0.19672131147540983
0.5,f1:pore,0.26373626373626374
0.5,support:pore,61.0
0.5,precision:stain,0.7267637178051511
0.5,recall:stain,0.9166666666666666
0.5,f1:stain,0.8107432854465958
0.5,support:stain,708.0
0.5,accuracy,0.7910168434185901
0.5,macro_f1,0.6171472656142989
0.5,weighted_f1,0.7780111157718852
0.5,n_synthetic,655.0
0.5,n_train,1745.0
0.75,precision:deposit,0.599009900990099
0.75,recall:deposit,0.5062761506276151
0.75,f1:deposit,0.5487528344671202
0.75,support:deposit,239.0
0.75,precision:discontinuity,0.9129692832764505
0.75,recall:discontinuity,0.8991596638655462
0.75,f1:discontinuity,0.9060118543607113
0.75,support:discontinuity,595.0
0.75,precision:pore,0.34782608695652173
0.75,recall:pore,0.13114754098360656
0.75,f1:pore,0.19047619047619047
0.75,support:pore,61.0
0.75,precision:stain,0.7638888888888888
0.75,recall:stain,0.8545197740112994
0.75,f1:stain,0.8066666666666666
0.75,support:stain,708.0
0.75,accuracy,0.7916406737367436
0.75,macro_f1,0.6129768864926721
0.75,weighted_f1,0.7816394437937071
0.75,n_synthetic,983.0
0.75,n_train,2073.0
1.0,precision:deposit,0.6130268199233716
1.0,recall:deposit,0.6694560669456067
1.0,f1:deposit,0.64
1.0,support:deposit,239.0
1.0,precision:discontinuity,0.8991735537190083
1.0,recall:discontinuity,0.9142857142857143
1.0,f1:discontinuity,0.9066666666666666
1.0,support:discontinuity,595.0
1.0,precision:pore,0.75
1.0,recall:pore,0.3442622950819672
1.0,f1:pore,0.4719101123595506
1.0,support:pore,61.0
1.0,precision:stain,0.8152327221438646
1.0,recall:stain,0.8163841807909604
1.0,f1:stain,0.8158080451658434
1.0,support:stain,708.0
1.0,accuracy,0.8128509045539614
1.0,macro_f1,0.7085962060480151
1.0,weighted_f1,0.8102341107286439
1.0,n_synthetic,1310.0
1.0,n_train,2400.0
